Year,OPRHP Region,County,Facility,Attendance
2008,Long Island,Suffolk,Montauk Downs,214790
2007,Long Island,Suffolk,Montauk Downs,245150
2006,Long Island,Suffolk,Montauk Downs,226045
2005,Long Island,Suffolk,Montauk Downs,224995
2004,Long Island,Suffolk,Montauk Downs,230263
2003,Long Island,Suffolk,Montauk Downs,222244
2020,Long Island,Suffolk,Montauk Point,1421690
2019,Long Island,Suffolk,Montauk Point,1104315
2018,Long Island,Suffolk,Montauk Point,995485
2017,Long Island,Suffolk,Montauk Point,1198798
2016,Long Island,Suffolk,Montauk Point,1006921
2015,Long Island,Suffolk,Montauk Point,728090
2014,Long Island,Suffolk,Montauk Point,816970
2013,Long Island,Suffolk,Montauk Point,832040
2012,Long Island,Suffolk,Montauk Point,766430
2011,Long Island,Suffolk,Montauk Point,754915
2010,Long Island,Suffolk,Montauk Point,756940
2009,Long Island,Suffolk,Montauk Point,716240
2008,Long Island,Suffolk,Montauk Point,872840
2007,Long Island,Suffolk,Montauk Point,899672
2006,Long Island,Suffolk,Montauk Point,867560
2005,Long Island,Suffolk,Montauk Point,901341
2004,Long Island,Suffolk,Montauk Point,895650
2003,Long Island,Suffolk,Montauk Point,900480
2020,Saratoga/Capital,Saratoga,Moreau Lake St Pk,382819
2019,Saratoga/Capital,Saratoga,Moreau Lake St Pk,347290
2018,Saratoga/Capital,Saratoga/Warren,Moreau Lake St Pk,309775
2017,Saratoga/Capital,Saratoga/Warren,Moreau Lake St Pk,381557
2016,Saratoga,Saratoga/Warren,Moreau Lake St Pk,366567
2015,Saratoga,Saratoga/Warren,Moreau Lake St Pk,357848
2014,Saratoga,Saratoga/Warren,Moreau Lake St Pk,326564
2013,Saratoga,Saratoga/Warren,Moreau Lake St Pk,381133
2012,Saratoga,Saratoga/Warren,Moreau Lake St Pk,380407
2011,Saratoga,Saratoga/Warren,Moreau Lake St Pk,374352
2010,Saratoga,Saratoga/Warren,Moreau Lake St Pk,425167
2009,Saratoga,Saratoga/Warren,Moreau Lake St Pk,395910
2008,Saratoga,Saratoga/Warren,Moreau Lake St Pk,367828
2007,Saratoga,Saratoga/Warren,Moreau Lake St Pk,356674
2006,Saratoga,Saratoga/Warren,Moreau Lake St Pk,267603
2005,Saratoga,Saratoga/Warren,Moreau Lake St Pk,338109
2004,Saratoga,Saratoga/Warren,Moreau Lake St Pk,275587
2003,Saratoga,Saratoga/Warren,Moreau Lake St Pk,277521
2020,Long Island,Suffolk,Napeague State Park,156475
2019,Long Island,Suffolk,Napeague State Park,113260
2018,Long Island,Suffolk,Napeague State Park,120190
2017,Long Island,Suffolk,Napeague State Park,107820
2016,Long Island,Suffolk,Napeague State Park,70070
2015,Long Island,Suffolk,Napeague State Park,68245
2014,Long Island,Suffolk,Napeague State Park,65985
2013,Long Island,Suffolk,Napeague State Park,81535
2012,Long Island,Suffolk,Napeague State Park,69495
2011,Long Island,Suffolk,Napeague State Park,96660
2010,Long Island,Suffolk,Napeague State Park,98180
2009,Long Island,Suffolk,Napeague State Park,162570
2008,Long Island,Suffolk,Napeague State Park,188665
2007,Long Island,Suffolk,Napeague State Park,201910
2006,Long Island,Suffolk,Napeague State Park,191565
2005,Long Island,Suffolk,Napeague State Park,175150
2004,Long Island,Suffolk,Napeague State Park,184650
2003,Long Island,Suffolk,Napeague State Park,196520
2020,Palisades,Orange,National Purple Heart Hall Of Honor,12650
2019,Palisades,Orange,National Purple Heart Hall Of Honor,18564
2018,Palisades,Orange,National Purple Heart Hall Of Honor,18776
2017,Palisades,Orange,National Purple Heart Hall Of Honor,22407
2016,Palisades,Orange,National Purple Heart Hall Of Honor,26340
2015,Palisades,Orange,National Purple Heart Hall Of Honor,17255
2014,Palisades,Orange,National Purple Heart Hall Of Honor,17086
2013,Palisades,Orange,National Purple Heart Hall Of Honor,12936
2012,Palisades,Orange,National Purple Heart Hall Of Honor,12074
2011,Palisades,Orange,National Purple Heart Hall Of Honor,14546
2010,Palisades,Orange,National Purple Heart Hall Of Honor,12892
2009,Palisades,Orange,National Purple Heart Hall Of Honor,10388
2008,Palisades,Orange,National Purple Heart Hall Of Honor,12093
2007,Palisades,Orange,National Purple Heart Hall Of Honor,15
2006,Palisades,Orange,National Purple Heart Hall Of Honor,0
2005,Palisades,Orange,National Purple Heart Hall Of Honor,0
2004,Palisades,Orange,National Purple Heart Hall Of Honor,0
2003,Palisades,Orange,National Purple Heart Hall Of Honor,0
2020,Finger Lakes,Chemung,Newtown Battlefield,56746
2019,Finger Lakes,Chemung,Newtown Battlefield,46609
2018,Finger Lakes,Chemung,Newtown Battlefield,50709
2017,Finger Lakes,Chemung,Newtown Battlefield,52532
2016,Finger Lakes,Chemung,Newtown Battlefield,58876
2015,Finger Lakes,Chemung,Newtown Battlefield,47218
2014,Finger Lakes,Chemung,Newtown Battlefield,34455
2013,Finger Lakes,Chemung,Newtown Battlefield,33796
2012,Finger Lakes,Chemung,Newtown Battlefield,30788
2011,Finger Lakes,Chemung,Newtown Battlefield,28453
2010,Finger Lakes,Chemung,Newtown Battlefield,23723
2009,Finger Lakes,Chemung,Newtown Battlefield,30387
2008,Finger Lakes,Chemung,Newtown Battlefield,38736
2007,Finger Lakes,Chemung,Newtown Battlefield,28358
2006,Finger Lakes,Chemung,Newtown Battlefield,22733
2005,Finger Lakes,Chemung,Newtown Battlefield,18559
2004,Finger Lakes,Chemung,Newtown Battlefield,0
2003,Finger Lakes,Chemung,Newtown Battlefield,20
2020,Palisades,Orange,New Windsor Cantonment,9679
2019,Palisades,Orange,New Windsor Cantonment,20985
2018,Palisades,Orange,New Windsor Cantonment,19656
2017,Palisades,Orange,New Windsor Cantonment,28432
2016,Palisades,Orange,New Windsor Cantonment,31906
2015,Palisades,Orange,New Windsor Cantonment,24800
2014,Palisades,Orange,New Windsor Cantonment,27637
2013,Palisades,Orange,New Windsor Cantonment,15576
2012,Palisades,Orange,New Windsor Cantonment,15262
2011,Palisades,Orange,New Windsor Cantonment,17100
2010,Palisades,Orange,New Windsor Cantonment,19776
2009,Palisades,Orange,New Windsor Cantonment,19305
2008,Palisades,Orange,New Windsor Cantonment,15729
2007,Palisades,Orange,New Windsor Cantonment,21122
2006,Palisades,Orange,New Windsor Cantonment,21340
2005,Palisades,Orange,New Windsor Cantonment,15484
2004,Palisades,Orange,New Windsor Cantonment,17199
2003,Palisades,Orange,New Windsor Cantonment,17147
2020,Niagara,Niagara,Niagara Reservation,5973329
2019,Niagara,Niagara,Niagara Reservation,9596491
2018,Niagara,Niagara,Niagara Reservation,9516147
2017,Niagara,Niagara,Niagara Reservation,9435285
2016,Niagara,Niagara,Niagara Reservation,9529325
2015,Niagara,Niagara,Niagara Reservation,9296962
2014,Niagara,Niagara,Niagara Reservation,9011709
2013,Niagara,Niagara,Niagara Reservation,8863301
2012,Niagara,Niagara,Niagara Reservation,8690962
2011,Niagara,Niagara,Niagara Reservation,8448914
2010,Niagara,Niagara,Niagara Reservation,8274942
2009,Niagara,Niagara,Niagara Reservation,8130765
2008,Niagara,Niagara,Niagara Reservation,7925725
2007,Niagara,Niagara,Niagara Reservation,7924083
2006,Niagara,Niagara,Niagara Reservation,7756133
2005,Niagara,Niagara,Niagara Reservation,7762999
2004,Niagara,Niagara,Niagara Reservation,7779887
2003,Niagara,Niagara,Niagara Reservation,7390268
2020,Long Island,Suffolk,Nissequogue River,326777
2019,Long Island,Suffolk,Nissequogue River,272750
2018,Long Island,Suffolk,Nissequogue River,227169
2017,Long Island,Suffolk,Nissequogue River,140649
2016,Long Island,Suffolk,Nissequogue River,162815
2015,Long Island,Suffolk,Nissequogue River,138136
2014,Long Island,Suffolk,Nissequogue River,95288
2013,Long Island,Suffolk,Nissequogue River,123584
2012,Long Island,Suffolk,Nissequogue River,106125
2011,Long Island,Suffolk,Nissequogue River,64702
2010,Long Island,Suffolk,Nissequogue River,75641
2009,Long Island,Suffolk,Nissequogue River,87486
2008,Long Island,Suffolk,Nissequogue River,95007
2007,Long Island,Suffolk,Nissequogue River,88207
2006,Long Island,Suffolk,Nissequogue River,38394
2005,Long Island,Suffolk,Nissequogue River,32438
2004,Long Island,Suffolk,Nissequogue River,29453
2003,Long Island,Suffolk,Nissequogue River,39769
2020,Palisades,Rockland,Nyack Beach St Pk,65071
2019,Palisades,Rockland,Nyack Beach St Pk,121064
2018,Palisades,Rockland,Nyack Beach St Pk,131195
2017,Palisades,Rockland,Nyack Beach St Pk,161674
2016,Palisades,Rockland,Nyack Beach St Pk,149481
2015,Palisades,Rockland,Nyack Beach St Pk,140088
2014,Palisades,Rockland,Nyack Beach St Pk,169661
2013,Palisades,Rockland,Nyack Beach St Pk,120005
2012,Palisades,Rockland,Nyack Beach St Pk,157090
2011,Palisades,Rockland,Nyack Beach St Pk,148527
2010,Palisades,Rockland,Nyack Beach St Pk,142344
2009,Palisades,Rockland,Nyack Beach St Pk,124536
2008,Palisades,Rockland,Nyack Beach St Pk,124378
2007,Palisades,Rockland,Nyack Beach St Pk,160189
2006,Palisades,Rockland,Nyack Beach St Pk,184570
2005,Palisades,Rockland,Nyack Beach St Pk,272254
2004,Palisades,Rockland,Nyack Beach St Pk,229369
2003,Palisades,Rockland,Nyack Beach St Pk,289976
2020,Genesee,Orleans,Oak Orchard Boat Launch,11060
2019,Genesee,Orleans,Oak Orchard Boat Launch,6992
2018,Genesee,Orleans,Oak Orchard Boat Launch,7317
2017,Genesee,Orleans,Oak Orchard Boat Launch,4874
2016,Genesee,Orleans,Oak Orchard Boat Launch,8580
2015,Genesee,Orleans,Oak Orchard Boat Launch,9143
2014,Genesee,Orleans,Oak Orchard Boat Launch,9259
2013,Genesee,Orleans,Oak Orchard Boat Launch,9353
2012,Genesee,Orleans,Oak Orchard Boat Launch,7233
2011,Genesee,Orleans,Oak Orchard Boat Launch,7547
2010,Genesee,Orleans,Oak Orchard Boat Launch,6991
2009,Genesee,Orleans,Oak Orchard Boat Launch,9050
2008,Genesee,Orleans,Oak Orchard Boat Launch,7860
2007,Genesee,Orleans,Oak Orchard Boat Launch,10924
2006,Genesee,Orleans,Oak Orchard Boat Launch,10439
2005,Genesee,Orleans,Oak Orchard Boat Launch,9562
2004,Genesee,Orleans,Oak Orchard Boat Launch,10629
2003,Genesee,Orleans,Oak Orchard Boat Launch,11961
2020,Taconic,Columbia,Olana,150023
2019,Taconic,Columbia,Olana,160936
2018,Taconic,Columbia,Olana,175017
2017,Taconic,Columbia,Olana,172877
2016,Taconic,Columbia,Olana,173644
2015,Taconic,Columbia,Olana,171218
2014,Taconic,Columbia,Olana,161358
2013,Taconic,Columbia,Olana,148974
2012,Taconic,Columbia,Olana,110035
2011,Taconic,Columbia,Olana,148759
2010,Taconic,Columbia,Olana,129676
2009,Taconic,Columbia,Olana,135564
2008,Taconic,Columbia,Olana,165702
2007,Taconic,Columbia,Olana,94877
2006,Taconic,Columbia,Olana,95514
2005,Taconic,Columbia,Olana,108435
2004,Taconic,Columbia,Olana,105392
2003,Taconic,Columbia,Olana,108711
2020,Taconic,Westchester,Old Croton Aqueduct,1669439
2019,Taconic,Westchester,Old Croton Aqueduct,1242593
2018,Taconic,Westchester,Old Croton Aqueduct,1125953
2017,Taconic,Westchester,Old Croton Aqueduct,1195375
2016,Taconic,Westchester,Old Croton Aqueduct,1278747
2015,Taconic,Westchester,Old Croton Aqueduct,1129836
2014,Taconic,Westchester,Old Croton Aqueduct,1009221
2013,Taconic,Westchester,Old Croton Aqueduct,1006966
2012,Taconic,Westchester,Old Croton Aqueduct,1026504
2011,Taconic,Westchester,Old Croton Aqueduct,912439
2010,Taconic,Westchester,Old Croton Aqueduct,848512
2009,Taconic,Westchester,Old Croton Aqueduct,824313
2008,Taconic,Westchester,Old Croton Aqueduct,952231
2007,Taconic,Westchester,Old Croton Aqueduct,947610
2006,Taconic,Westchester,Old Croton Aqueduct,878454
2005,Taconic,Westchester,Old Croton Aqueduct,817245
2004,Taconic,Westchester,Old Croton Aqueduct,832026
2003,Taconic,Westchester,Old Croton Aqueduct,592761
2020,Central,Madison,Old Erie Canal,125216
2019,Central,Madison,Old Erie Canal,141651
2018,Central,Onondaga/Madison/Oneida,Old Erie Canal,203597
2017,Central,Onondaga/Madison/Oneida,Old Erie Canal,111488
2016,Central,Onondaga/Madison/Oneida,Old Erie Canal,96895
2015,Central,Onondaga/Madison/Oneida,Old Erie Canal,91454
2014,Central,Onondaga/Madison/Oneida,Old Erie Canal,86289
2013,Central,Onondaga/Madison/Oneida,Old Erie Canal,61581
2012,Central,Onondaga/Madison/Oneida,Old Erie Canal,28012
2011,Central,Onondaga/Madison/Oneida,Old Erie Canal,26488
2010,Central,Onondaga/Madison/Oneida,Old Erie Canal,65623
2009,Central,Onondaga/Madison/Oneida,Old Erie Canal,89932
2008,Central,Onondaga/Madison/Oneida,Old Erie Canal,89412
2007,Central,Onondaga/Madison/Oneida,Old Erie Canal,127474
2006,Central,Onondaga/Madison/Oneida,Old Erie Canal,101441
2005,Central,Onondaga/Madison/Oneida,Old Erie Canal,89422
2004,Central,Onondaga/Madison/Oneida,Old Erie Canal,100511
2003,Central,Onondaga/Madison/Oneida,Old Erie Canal,110318
2020,Central,Broome/Delaware,Oquaga State Park,69358
2019,Central,Broome/Delaware,Oquaga State Park,48054
2018,Central,Broome/Delaware,Oquaga State Park,56002
2017,Central,Broome/Delaware,Oquaga State Park,36962
2016,Central,Broome/Delaware,Oquaga State Park,53265
2015,Central,Broome/Delaware,Oquaga State Park,51214
2014,Central,Broome/Delaware,Oquaga State Park,53495
2013,Central,Broome/Delaware,Oquaga State Park,34290
2012,Central,Broome/Delaware,Oquaga State Park,40198
2011,Central,Broome/Delaware,Oquaga State Park,30659
2010,Central,Broome/Delaware,Oquaga State Park,30320
2009,Central,Broome/Delaware,Oquaga State Park,25319
2008,Central,Broome/Delaware,Oquaga State Park,33445
2007,Central,Broome/Delaware,Oquaga State Park,36592
2006,Central,Broome/Delaware,Oquaga State Park,30229
2005,Central,Broome/Delaware,Oquaga State Park,33005
2004,Central,Broome/Delaware,Oquaga State Park,30526
2003,Central,Broome/Delaware,Oquaga State Park,34883
2020,Long Island,Suffolk,Orient Beach St Pk,200848
2019,Long Island,Suffolk,Orient Beach St Pk,180137
2018,Long Island,Suffolk,Orient Beach St Pk,243593
2017,Long Island,Suffolk,Orient Beach St Pk,374256
2016,Long Island,Suffolk,Orient Beach St Pk,334627
2015,Long Island,Suffolk,Orient Beach St Pk,414303
2014,Long Island,Suffolk,Orient Beach St Pk,452199
2013,Long Island,Suffolk,Orient Beach St Pk,412562
2012,Long Island,Suffolk,Orient Beach St Pk,399218
2011,Long Island,Suffolk,Orient Beach St Pk,434266
2010,Long Island,Suffolk,Orient Beach St Pk,215650
2009,Long Island,Suffolk,Orient Beach St Pk,111473
2008,Long Island,Suffolk,Orient Beach St Pk,111157
2007,Long Island,Suffolk,Orient Beach St Pk,85318
2006,Long Island,Suffolk,Orient Beach St Pk,73175
2005,Long Island,Suffolk,Orient Beach St Pk,78619
2004,Long Island,Suffolk,Orient Beach St Pk,78875
2003,Long Island,Suffolk,Orient Beach St Pk,79239
2020,Central,Oneida,Oriskany Battlefield,18385
2019,Central,Oneida,Oriskany Battlefield,14488
2018,Central,Oneida,Oriskany Battlefield,4946
2017,Central,Oneida,Oriskany Battlefield,9053
2016,Central,Oneida,Oriskany Battlefield,4431
2015,Central,Oneida,Oriskany Battlefield,3701
2014,Central,Oneida,Oriskany Battlefield,3882
2013,Central,Oneida,Oriskany Battlefield,4061
2012,Central,Oneida,Oriskany Battlefield,6331
2011,Central,Oneida,Oriskany Battlefield,4172
2010,Central,Oneida,Oriskany Battlefield,2710
2009,Central,Oneida,Oriskany Battlefield,7183
2008,Central,Oneida,Oriskany Battlefield,6360
2007,Central,Oneida,Oriskany Battlefield,15485
2006,Central,Oneida,Oriskany Battlefield,24209
2005,Central,Oneida,Oriskany Battlefield,18869
2004,Central,Oneida,Oriskany Battlefield,12925
2003,Central,Oneida,Oriskany Battlefield,15985
2020,Palisades,Rockland,Palisades,19877
2019,Palisades,Rockland,Palisades,17206
2018,Palisades,Rockland,Palisades,20121
2017,Palisades,Rockland,Palisades,14608
2016,Palisades,Rockland,Palisades,14811
2015,Palisades,Rockland,Palisades,11567
2014,Palisades,Rockland,Palisades,10592
2013,Palisades,Rockland,Palisades,10601
2012,Palisades,Rockland,Palisades,9662
2011,Palisades,Rockland,Palisades,6267
2010,Palisades,Rockland,Palisades,5060
2009,Palisades,Rockland,Palisades,5147
2008,Palisades,Rockland,Palisades,4685
2007,Palisades,Rockland,Palisades,4048
2006,Palisades,Rockland,Palisades,5622
2005,Palisades,Rockland,Palisades,3682
2004,Palisades,Rockland,Palisades,0
2003,Palisades,Rockland,Palisades,0
2020,Saratoga/Capital,Saratoga,Peebles Island,57091
2019,Saratoga/Capital,Saratoga,Peebles Island,51218
2018,Saratoga/Capital,Saratoga,Peebles Island,58318
2017,Saratoga/Capital,Saratoga,Peebles Island,127484
2016,Saratoga,Saratoga,Peebles Island,137858
2015,Saratoga,Saratoga,Peebles Island,101647
2014,Saratoga,Saratoga,Peebles Island,115344
2013,Saratoga,Saratoga,Peebles Island,105176
2012,Saratoga,Saratoga,Peebles Island,95345
2011,Saratoga,Saratoga,Peebles Island,85000
2010,Saratoga,Saratoga,Peebles Island,89067
2009,Saratoga,Saratoga,Peebles Island,94316
2008,Saratoga,Saratoga,Peebles Island,88184
2007,Saratoga,Saratoga,Peebles Island,78498
2006,Saratoga,Saratoga,Peebles Island,78229
2005,Saratoga,Saratoga,Peebles Island,66584
2004,Saratoga,Saratoga,Peebles Island,52125
2003,Saratoga,Saratoga,Peebles Island,67799
2020,Taconic,Westchester,Peter Jay House (Jay Heritage Center),13395
2019,Taconic,Westchester,Peter Jay House (Jay Heritage Center),15742
2018,Taconic,Westchester,Peter Jay House (Jay Heritage Center),3652
2017,Taconic,Westchester,Peter Jay House (Jay Heritage Center),5000
2020,Taconic,Westchester,Philipse Manor,21521
2019,Taconic,Westchester,Philipse Manor,29252
2018,Taconic,Westchester,Philipse Manor,28968
2017,Taconic,Westchester,Philipse Manor,32330
2016,Taconic,Westchester,Philipse Manor,27595
2015,Taconic,Westchester,Philipse Manor,25044
2014,Taconic,Westchester,Philipse Manor,23557
2013,Taconic,Westchester,Philipse Manor,23304
2012,Taconic,Westchester,Philipse Manor,22956
2011,Taconic,Westchester,Philipse Manor,20939
2010,Taconic,Westchester,Philipse Manor,21216
2009,Taconic,Westchester,Philipse Manor,22517
2008,Taconic,Westchester,Philipse Manor,23554
2007,Taconic,Westchester,Philipse Manor,23001
2006,Taconic,Westchester,Philipse Manor,23779
2005,Taconic,Westchester,Philipse Manor,24488
2004,Taconic,Westchester,Philipse Manor,25209
2003,Taconic,Westchester,Philipse Manor,22941
2020,Central,Oswego,Pine Grove Boatlaunch,16090
2019,Central,Oswego,Pine Grove Boatlaunch,8584
2018,Central,Oswego,Pine Grove Boatlaunch,11384
2017,Central,Oswego,Pine Grove Boatlaunch,9173
2016,Central,Oswego,Pine Grove Boatlaunch,15142
2015,Central,Oswego,Pine Grove Boatlaunch,14041
2014,Central,Oswego,Pine Grove Boatlaunch,13403
2013,Central,Oswego,Pine Grove Boatlaunch,9932
2012,Central,Oswego,Pine Grove Boatlaunch,0
2011,Central,Oswego,Pine Grove Boatlaunch,0
2010,Central,Oswego,Pine Grove Boatlaunch,0
2009,Central,Oswego,Pine Grove Boatlaunch,0
2008,Central,Oswego,Pine Grove Boatlaunch,0
2007,Central,Oswego,Pine Grove Boatlaunch,0
2006,Central,Oswego,Pine Grove Boatlaunch,0
2005,Central,Oswego,Pine Grove Boatlaunch,0
2004,Central,Oswego,Pine Grove Boatlaunch,0
2003,Central,Oswego,Pine Grove Boatlaunch,0
2016,Finger Lakes,Steuben,Pinnacle Golf,0
2015,Finger Lakes,Steuben,Pinnacle Golf,0
2014,Finger Lakes,Steuben,Pinnacle Golf,6055
2013,Finger Lakes,Steuben,Pinnacle Golf,6316
2012,Finger Lakes,Steuben,Pinnacle Golf,8660
2011,Finger Lakes,Steuben,Pinnacle Golf,8020
2010,Finger Lakes,Steuben,Pinnacle Golf,26786
2009,Finger Lakes,Steuben,Pinnacle Golf,24145
2008,Finger Lakes,Steuben,Pinnacle Golf,25169
2007,Finger Lakes,Steuben,Pinnacle Golf,29034
2006,Finger Lakes,Steuben,Pinnacle Golf,27492
2005,Finger Lakes,Steuben,Pinnacle Golf,35126
2004,Finger Lakes,Steuben,Pinnacle Golf,28055
2003,Finger Lakes,Steuben,Pinnacle Golf,32177
2020,Finger Lakes,Steuben,Pinnacle State Park and Golf Course,0
2019,Finger Lakes,Steuben,Pinnacle State Park and Golf Course,0
2018,Finger Lakes,Steuben,Pinnacle State Park and Golf Course,55
2017,Finger Lakes,Steuben,Pinnacle State Park and Golf Course,1007
2020,Central,Oneida,Pixley Falls State Park,47326
2019,Central,Oneida,Pixley Falls State Park,44597
